ID,U_ground,U_wall,U_window,U_roof,infiltration,SHGC,Qheating_2020,Qheating_2050,Qheating_2080
0_0_0,0.378,0.429,2.568,0.308,0.000457,0.58,20.022,14.104,8.992
0_0_1,0.378,0.429,2.568,0.308,0.000457,0.58,9.959,6.141,3.194
0_0_2,0.378,0.429,2.568,0.308,0.000457,0.58,12.354,7.786,4.207
0_0_3,0.378,0.429,2.568,0.308,0.000457,0.58,9.841,6.074,3.218
0_0_4,0.378,0.429,2.568,0.308,0.000457,0.58,10.741,6.727,3.615
0_0_5,0.378,0.429,2.568,0.308,0.000457,0.58,24.336,17.637,11.572
0_0_6,0.378,0.429,2.568,0.308,0.000457,0.58,13.393,8.594,4.994
0_0_7,0.378,0.429,2.568,0.308,0.000457,0.58,108.897,79.26,59.879
0_1_0,0.5,0.48,3.3,0.49,0.0004,0.73,56.168,31.439,22.536
0_1_1,0.5,0.48,3.3,0.49,0.0004,0.73,49.443,24.317,16.732
0_1_2,0.5,0.48,3.3,0.49,0.0004,0.73,51.988,56.769,42.511
0_1_3,0.5,0.48,3.3,0.49,0.0004,0.73,49.659,22.808,14.761
0_1_4,0.5,0.48,3.3,0.49,0.0004,0.73,49.969,24.173,16.184
0_1_5,0.5,0.48,3.3,0.49,0.0004,0.73,53.628,57.354,42.74
0_1_6,0.5,0.48,3.3,0.49,0.0004,0.73,143.343,91.843,69.354
0_2_0,0.384,1.2,2.804,0.254,0.000354,0.78,179.584,113.95,82.107
0_3_0,1.974,1.541,3.344,3.134,0.000389,0.3,65.477,48.716,36.829
0_3_1,1.974,1.541,3.344,3.134,0.000389,0.3,86.836,65.427,50.966
0_3_2,1.974,1.541,3.344,3.134,0.000389,0.3,57.734,40.524,29.055
0_3_3,1.974,1.541,3.344,3.134,0.000389,0.3,78.468,56.649,43.057
0_3_4,1.974,1.541,3.344,3.134,0.000389,0.3,180.866,126.879,96.055
0_4_0,0.6,1.8,2,0.4,0.0004,0.47,46.66,37.03,28.174
0_4_1,0.6,1.8,2,0.4,0.0004,0.47,42.394,32.936,24.361
0_4_2,0.6,1.8,2,0.4,0.0004,0.47,42.359,32.8,24.205
0_4_3,0.6,1.8,2,0.4,0.0004,0.47,42.281,32.366,23.812
0_4_4,0.6,1.8,2,0.4,0.0004,0.47,41.44,30.004,21.761
0_4_5,0.6,1.8,2,0.4,0.0004,0.47,40.816,27.017,19.221
0_4_6,0.6,1.8,2,0.4,0.0004,0.47,105.722,71.613,53.036
0_5_0,0.567,1.247,2.887,0.947,0.000587,0.83,64.427,52.518,40.312
0_5_1,0.567,1.247,2.887,0.947,0.000587,0.83,39.881,30.455,20.607
0_5_2,0.567,1.247,2.887,0.947,0.000587,0.83,26.024,18.92,11.522
0_5_3,0.567,1.247,2.887,0.947,0.000587,0.83,56.215,44.637,33.37
0_5_4,0.567,1.247,2.887,0.947,0.000587,0.83,40.317,30.02,21.062
0_5_5,0.567,1.247,2.887,0.947,0.000587,0.83,117.048,81.684,60.148
0_6_0,0.563,0.487,1.993,0.383,0.000302,0.58,11.172,7.828,4.746
0_6_1,0.563,0.487,1.993,0.383,0.000302,0.58,23.671,16.446,11.406
0_6_2,0.563,0.487,1.993,0.383,0.000302,0.58,10.933,6.831,3.87
0_6_3,0.563,0.487,1.993,0.383,0.000302,0.58,12.406,7.77,4.566
0_6_4,0.563,0.487,1.993,0.383,0.000302,0.58,72.615,53.573,41.134
0_7_0,0.336,0.438,1.706,0.396,0.000487,0.48,21.682,16.706,11.623
0_7_1,0.336,0.438,1.706,0.396,0.000487,0.48,11.499,8.012,4.718
0_7_2,0.336,0.438,1.706,0.396,0.000487,0.48,17.09,12.642,8.134
0_7_3,0.336,0.438,1.706,0.396,0.000487,0.48,28.782,22.597,16.668
0_7_4,0.336,0.438,1.706,0.396,0.000487,0.48,18.161,13.2,8.633
0_7_5,0.336,0.438,1.706,0.396,0.000487,0.48,27.936,19.425,12.529
0_7_6,0.336,0.438,1.706,0.396,0.000487,0.48,50.682,37.656,28.06
0_7_7,0.336,0.438,1.706,0.396,0.000487,0.48,131.57,97.761,74.092
0_8_0,0.418,2.566,3.288,3.218,0.000319,0.6,45.815,36.489,27.638
0_8_1,0.418,2.566,3.288,3.218,0.000319,0.6,48.509,38.548,29.233
0_8_2,0.418,2.566,3.288,3.218,0.000319,0.6,43.137,33.666,24.909
0_8_3,0.418,2.566,3.288,3.218,0.000319,0.6,32.628,24.519,16.803
0_8_4,0.418,2.566,3.288,3.218,0.000319,0.6,38.438,29.141,20.784
0_8_5,0.418,2.566,3.288,3.218,0.000319,0.6,31.456,22.82,15.499
0_8_6,0.418,2.566,3.288,3.218,0.000319,0.6,52.918,38.068,28.714
0_8_7,0.418,2.566,3.288,3.218,0.000319,0.6,206.039,144.244,112.033
1_0_0,1.366,1.024,2.006,0.436,0.000567,0.42,40.538,30.164,20.243
1_0_1,1.366,1.024,2.006,0.436,0.000567,0.42,26.488,18.157,10.831
1_0_2,1.366,1.024,2.006,0.436,0.000567,0.42,37.037,25.997,16.598
1_0_3,1.366,1.024,2.006,0.436,0.000567,0.42,23.936,14.436,8.127
1_0_4,1.366,1.024,2.006,0.436,0.000567,0.42,19.623,10.386,5.394
1_0_5,1.366,1.024,2.006,0.436,0.000567,0.42,21.44,11.258,5.965
1_0_6,1.366,1.024,2.006,0.436,0.000567,0.42,7.684,3.19,1.057
1_0_7,1.366,1.024,2.006,0.436,0.000567,0.42,125.726,83.794,60.164
1_1_0,0.558,0.42,1.988,0.378,0.000303,0.74,30.631,23.593,16.582
1_1_1,0.558,0.42,1.988,0.378,0.000303,0.74,25.497,19.073,12.617
1_1_2,0.558,0.42,1.988,0.378,0.000303,0.74,65.311,48.445,35.407
1_2_0,0.532,0.662,3.332,0.522,0.000467,0.49,82.671,55.186,37.963
1_2_1,0.532,0.662,3.332,0.522,0.000467,0.49,69.553,43.559,27.754
1_2_2,0.532,0.662,3.332,0.522,0.000467,0.49,63.211,38.325,23.508
1_2_3,0.532,0.662,3.332,0.522,0.000467,0.49,51.389,29.275,17.711
1_2_4,0.532,0.662,3.332,0.522,0.000467,0.49,142.957,92.168,64.346
1_3_0,0.33,0.497,2.51,0.33,0.000378,0.6,25.411,17.623,11.326
1_3_1,0.33,0.497,2.51,0.33,0.000378,0.6,20.582,13.38,8.116
1_3_2,0.33,0.497,2.51,0.33,0.000378,0.6,14.613,8.914,5.006
1_3_3,0.33,0.497,2.51,0.33,0.000378,0.6,19.256,11.263,6.559
1_3_4,0.33,0.497,2.51,0.33,0.000378,0.6,99.557,68.669,50.449
1_4_0,0.483,1.841,2.713,0.473,0.000326,0.3,33.651,24.535,16.94
1_4_1,0.483,1.841,2.713,0.473,0.000326,0.3,42.836,31.993,22.871
1_4_2,0.483,1.841,2.713,0.473,0.000326,0.3,34.853,24.732,15.935
1_4_3,0.483,1.841,2.713,0.473,0.000326,0.3,65.118,50.367,38.319
1_4_4,0.483,1.841,2.713,0.473,0.000326,0.3,56.615,41.353,30.467
1_4_5,0.483,1.841,2.713,0.473,0.000326,0.3,50.84,34.422,24.419
1_4_6,0.483,1.841,2.713,0.473,0.000326,0.3,43.862,28.782,19.603
1_4_7,0.483,1.841,2.713,0.473,0.000326,0.3,126.913,91.681,70.501
1_5_0,0.573,0.39,2.663,0.673,0.000597,0.67,29.641,22.501,15.185
1_5_1,0.573,0.39,2.663,0.673,0.000597,0.67,23.121,16.804,10.542
1_5_2,0.573,0.39,2.663,0.673,0.000597,0.67,19.86,13.986,8.309
1_5_3,0.573,0.39,2.663,0.673,0.000597,0.67,19.298,13.363,7.93
1_5_4,0.573,0.39,2.663,0.673,0.000597,0.67,15.706,10.703,6.172
1_5_5,0.573,0.39,2.663,0.673,0.000597,0.67,25.421,17.144,10.982
1_5_6,0.573,0.39,2.663,0.673,0.000597,0.67,9.446,5.714,2.687
1_5_7,0.573,0.39,2.663,0.673,0.000597,0.67,94.079,61.672,43.637
1_6_0,1.119,4.186,1.659,0.599,0.000305,0.42,56.765,43.31,30.778
1_6_1,1.119,4.186,1.659,0.599,0.000305,0.42,100.928,81.49,62.778
1_6_2,1.119,4.186,1.659,0.599,0.000305,0.42,98.753,79.596,61.286
1_6_3,1.119,4.186,1.659,0.599,0.000305,0.42,83.118,65.163,48.422
1_6_4,1.119,4.186,1.659,0.599,0.000305,0.42,128.542,98.421,73.639
1_7_0,1.93,0.4,3,0.32,0.000426,0.81,9.544,6.515,3.806
1_7_1,1.93,0.4,3,0.32,0.000426,0.81,9.003,6.264,3.371
1_7_2,1.93,0.4,3,0.32,0.000426,0.81,9.806,6.685,3.442
1_7_3,1.93,0.4,3,0.32,0.000426,0.81,7.042,4.811,2.712
1_7_4,1.93,0.4,3,0.32,0.000426,0.81,2.183,0.919,0.179
1_7_5,1.93,0.4,3,0.32,0.000426,0.81,8.936,4.277,1.554
1_7_6,1.93,0.4,3,0.32,0.000426,0.81,3.032,0.929,0.122
1_7_7,1.93,0.4,3,0.32,0.000426,0.81,76.238,50.028,34.953
2_0_0,0.45,0.516,3.22,0.32,0.000451,0.51,32.253,20.664,13.605
2_0_1,0.45,0.516,3.22,0.32,0.000451,0.51,49.577,33.758,24.133
2_0_2,0.45,0.516,3.22,0.32,0.000451,0.51,24.497,14.345,8.389
2_0_3,0.45,0.516,3.22,0.32,0.000451,0.51,29.86,18.384,11.405
2_0_4,0.45,0.516,3.22,0.32,0.000451,0.51,36.351,23.601,15.528
2_0_5,0.45,0.516,3.22,0.32,0.000451,0.51,24.225,14.591,8.661
2_0_6,0.45,0.516,3.22,0.32,0.000451,0.51,112.563,82.702,62.264
2_1_0,1.911,2.558,3.281,3.421,0.00036,0.71,24.396,15.649,9.719
2_1_1,1.911,2.558,3.281,3.421,0.00036,0.71,43.847,41.971,31.877
2_1_2,1.911,2.558,3.281,3.421,0.00036,0.71,28.209,13.471,8.042
2_1_3,1.911,2.558,3.281,3.421,0.00036,0.71,34.445,17.292,10.485
2_1_4,1.911,2.558,3.281,3.421,0.00036,0.71,31.446,25.814,17.962
2_1_5,1.911,2.558,3.281,3.421,0.00036,0.71,38.666,37.62,27.585
2_1_6,1.911,2.558,3.281,3.421,0.00036,0.71,9.574,3.39,1.09
2_1_7,1.911,2.558,3.281,3.421,0.00036,0.71,147.031,93.83,67.798
2_2_0,2.027,0.446,2.877,3.247,0.000394,0.72,45.086,27.872,19.961
2_2_1,2.027,0.446,2.877,3.247,0.000394,0.72,173.692,123.477,93.942
2_3_0,0.57,0.49,2.7,0.35,0.0005,0.78,67.545,55.008,43.636
2_3_1,0.57,0.49,2.7,0.35,0.0005,0.78,45.099,33.085,23.861
2_3_2,0.57,0.49,2.7,0.35,0.0005,0.78,43.041,37.749,29.797
2_3_3,0.57,0.49,2.7,0.35,0.0005,0.78,43.832,42.305,33.248
2_3_4,0.57,0.49,2.7,0.35,0.0005,0.78,114.131,83.696,63.127
2_4_0,0.477,0.487,2.027,0.447,0.000504,0.36,35.144,25.898,18.301
2_4_1,0.477,0.487,2.027,0.447,0.000504,0.36,41.851,31.238,22.778
2_4_2,0.477,0.487,2.027,0.447,0.000504,0.36,32.388,23.292,15.576
2_4_3,0.477,0.487,2.027,0.447,0.000504,0.36,18.356,11.803,6.839
2_4_4,0.477,0.487,2.027,0.447,0.000504,0.36,82.381,59.069,42.569
2_5_0,1.908,1.251,2.978,3.248,0.000397,0.47,65.842,48.961,36.744
2_5_1,1.908,1.251,2.978,3.248,0.000397,0.47,45.268,29.837,19.761
2_5_2,1.908,1.251,2.978,3.248,0.000397,0.47,46.477,29.635,19.737
2_5_3,1.908,1.251,2.978,3.248,0.000397,0.47,33.811,21.08,12.872
2_5_4,1.908,1.251,2.978,3.248,0.000397,0.47,214.017,148.575,114.815
2_6_0,1.916,0.43,2.986,0.296,0.00055,0.56,30.391,19.443,12.179
2_6_1,1.916,0.43,2.986,0.296,0.00055,0.56,39.506,25.655,16.778
2_6_2,1.916,0.43,2.986,0.296,0.00055,0.56,50.232,33.931,23.65
2_6_3,1.916,0.43,2.986,0.296,0.00055,0.56,108.924,76.266,55.182
2_7_0,0.584,1.228,2.504,0.564,0.000367,0.67,48.597,37.53,28.039
2_7_1,0.584,1.228,2.504,0.564,0.000367,0.67,42.6,31.86,22.424
2_7_2,0.584,1.228,2.504,0.564,0.000367,0.67,39.918,29.663,20.481
2_7_3,0.584,1.228,2.504,0.564,0.000367,0.67,40.853,30.512,21.298
2_7_4,0.584,1.228,2.504,0.564,0.000367,0.67,83.365,63.956,48.891
